,Age0to24,Age0to24percent,Age25to44,Age25to44percent,Age45to64,Age45to64percent,Age65up,Age65uppercent,Inc0to15,Inc0to15percent,Inc100up,Inc100uppercent,Inc15to25,Inc15to25percent,Inc25to35,Inc25to35percent,Inc35to50,Inc35to50percent,Inc50to75,Inc50to75percent,Inc75to100,Inc75to100percent,Median Age,Median Income
"Lachute, Quebec",2853.0,16.0,2219.0,16.0,3276.0,16.0,2219.0,16.0,2748.0,26.0,211.0,2.0,2748.0,26.0,1585.0,15.0,1691.0,16.0,1268.0,12.0,317.0,3.0,43.0,23800.0
"Lacombe, Alberta",4140.0,16.0,2990.0,16.0,2875.0,16.0,1495.0,16.0,2185.0,19.0,1380.0,12.0,1725.0,15.0,1380.0,12.0,1840.0,16.0,1840.0,16.0,1150.0,10.0,37.0,37950.0
"Leamington, Ontario",11632.0,15.0,17216.0,15.0,11632.0,15.0,6048.0,15.0,12097.0,26.0,1395.0,3.0,11167.0,24.0,6514.0,14.0,6979.0,15.0,5583.0,12.0,2791.0,6.0,39.0,21470.0
"Lethbridge, Alberta",29627.0,17.0,22855.0,17.0,20316.0,17.0,12697.0,17.0,16930.0,20.0,5925.0,7.0,16083.0,19.0,11851.0,14.0,14390.0,17.0,13544.0,16.0,5925.0,7.0,37.0,32340.0
"Lloydminster, Alberta part",5327.0,14.0,4870.0,14.0,3652.0,14.0,1522.0,14.0,2283.0,15.0,2739.0,18.0,1978.0,13.0,1674.0,11.0,2130.0,14.0,2587.0,17.0,1826.0,12.0,35.0,44370.0
"Lloydminster, Saskatchewan part",4672.0,16.0,4088.0,16.0,2219.0,16.0,817.0,16.0,1985.0,17.0,1284.0,11.0,1518.0,13.0,1518.0,13.0,1868.0,16.0,2219.0,19.0,1284.0,11.0,31.0,39620.0
"Lloydminster, combined Alberta/Saskatchewan",9953.0,16.0,8877.0,16.0,5649.0,16.0,2152.0,16.0,4304.0,16.0,4035.0,15.0,3497.0,13.0,2959.0,11.0,4304.0,16.0,4573.0,17.0,3228.0,12.0,33.0,42130.0
"London, Ontario",111860.0,17.0,93818.0,17.0,97426.0,17.0,57734.0,17.0,86601.0,24.0,21650.0,6.0,61342.0,17.0,43300.0,12.0,61342.0,17.0,57734.0,16.0,28867.0,8.0,39.0,31470.0
"Matane, Quebec",3548.0,18.0,3240.0,18.0,5400.0,18.0,3394.0,18.0,3548.0,23.0,462.0,3.0,3703.0,24.0,2468.0,16.0,2777.0,18.0,2005.0,13.0,462.0,3.0,45.0,26070.0
"Medicine Hat, Alberta",18265.0,15.0,15411.0,15.0,15411.0,15.0,8562.0,15.0,10274.0,18.0,5708.0,10.0,10845.0,19.0,7420.0,13.0,8562.0,15.0,9132.0,16.0,5137.0,9.0,39.0,35070.0
