CityProv,Age0to24,Age0to24percent,Age25to44,Age25to44percent,Age45to64,Age45to64percent,Age65up,Age65uppercent,Inc0to15,Inc0to15percent,Inc100up,Inc100uppercent,Inc15to25,Inc15to25percent,Inc25to35,Inc25to35percent,Inc35to50,Inc35to50percent,Inc50to75,Inc50to75percent,Inc75to100,Inc75to100percent,Median Age,Median Income
"Squamish, British Columbia",4185,17,4455,17,3375,17,1485,17,2835,21,945,7,2160,16,1755,13,2295,17,2430,18,1080,8,36,32670
"St. Catharines-Niagara, Ontario",89235,17,70773,17,89235,17,61542,17,73850,24,15385,5,58464,19,46156,15,52310,17,43079,14,18462,6,42,26130
"St. John's, Newfoundland and Labrador",44709,17,44709,17,44709,17,21583,17,30834,20,12333,8,26208,17,20042,13,26208,17,24667,16,13875,9,39,37210
"Steinbach, Manitoba",6002,17,3806,17,3074,17,1610,17,3513,24,439,3,3074,21,2488,17,2488,17,1903,13,732,5,34,28030
"Stratford, Ontario",7426,19,5890,19,7426,19,4865,19,5122,20,1280,5,4353,17,3841,15,4865,19,4353,17,1792,7,42,31860
"Strathmore, Alberta",3972,16,3178,16,2837,16,1475,16,2043,18,1248,11,1702,15,1362,12,1816,16,1929,17,1248,11,37,38530
"Summerside, Prince Edward Island",4361,19,3459,19,4512,19,2707,19,3308,22,451,3,3308,22,2556,17,2857,19,1955,13,601,4,41,25680
"Swift Current, Saskatchewan",5537,18,4027,18,4362,18,2852,18,3020,18,1174,7,3356,20,2517,15,3020,18,2517,15,1174,7,39,29520
"Sylvan Lake, Alberta",3803,14,3303,14,2202,14,700,14,1801,18,1701,17,1301,13,1001,10,1401,14,1701,17,1101,11,33,42330
"Temiskaming Shores, Ontario",3239,17,2457,17,3351,17,2234,17,2457,22,670,6,2234,20,1563,14,1898,17,1675,15,670,6,42,30880
"Terrace, British Columbia",4083,17,3002,17,3362,17,1681,17,2642,22,840,7,2041,17,1681,14,2041,17,1801,15,960,8,38,31680
"Thetford Mines, Quebec",5224,19,4354,19,6748,19,5442,19,4789,22,435,2,5660,26,3700,17,4136,19,2394,11,653,3,46,25720
"Thompson, Manitoba",3780,15,2858,15,2120,15,461,15,1844,20,1290,14,1014,11,1014,11,1383,15,1383,15,1290,14,31,42750
"Thunder Bay, Ontario",27306,17,22598,17,28248,17,16948,17,19773,21,5649,6,15065,16,13182,14,16007,17,16948,18,7532,8,41,34080
"Tillsonburg, Ontario",4390,18,3330,18,3936,18,3482,18,3330,22,605,4,3028,20,2271,15,2725,18,2271,15,908,6,43,28840
"Timmins, Ontario",10793,15,8432,15,9781,15,4722,15,7083,21,3035,9,5734,17,4384,13,5059,15,5059,15,3373,10,39,35660
